,Unnamed: 0,Mean of Top 100 Fit Estimates,Std of Top 100 Fit Estimates,Max of Top 100 Fit Estimates,Min of Top 1% Fit Estimates,Best Fit Estimate
0,VSV,0.99964058066243,7.102387646346037e-11,0.9996405807336716,0.99964058049912,0.9996405807289824
0,MeV,0.9996131715758274,1.3792508987916827e-09,0.999613174504714,0.9996131704516966,0.9996131745043714
0,PIV2,0.9996974273838176,1.3547223402996416e-11,0.999697427398818,0.9996974273550904,0.9996974273944772
0,PIV3,0.9997929877398688,6.339177313263094e-10,0.9997929882827704,0.9997929862800048,0.9997929882780484
0,PIV5,0.9997067875749722,9.873052903864224e-11,0.9997067877569898,0.9997067874456677,0.9997067877522214
0,MuV,0.9997532042663012,6.199976329258145e-10,0.999753204897318,0.9997532030105024,0.9997532048962058
0,MV,0.9997728727969268,1.687610057104967e-09,0.999772876207696,0.9997728713259466,0.999772876207696
0,EBOV,0.9998512815303358,1.1233852116531843e-09,0.999851282921102,0.9998512798061469,0.999851282921102
0,RSV1,0.9998963762021432,1.0235008113586508e-10,0.9998963763217528,0.9998963760490304,0.9998963763163654
0,RSV2,0.9995667970455668,1.161287141733864e-10,0.9995667972035076,0.9995667968658823,0.999566797199146
